,vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
0,Animation_720P-0116,Animation,720,135,4.053999999999999,4.074,4.037,4.11,0.62,0.607,0.605,0.594,1280,720,yuv420p,24.0,,,
1,Animation_720P-01b3,Animation,720,112,3.638,3.46,3.2910000000000004,3.278,0.589,0.5539999999999999,0.701,0.6779999999999999,1280,720,yuv420p,25.0,,,
2,Animation_720P-06a6,Animation,720,123,3.9419999999999997,4.141,4.128,4.169,0.552,0.598,0.555,0.5579999999999999,1280,720,yuv420p,30.0,,,
3,Animation_720P-0acc,Animation,720,122,3.8760000000000003,3.7710000000000004,3.8810000000000002,3.886,0.501,0.597,0.521,0.5,1280,720,yuv420p,23.97602398,,,
5,Animation_720P-13b7,Animation,720,136,4.3180000000000005,4.095,4.19,3.898,0.46799999999999997,0.5760000000000001,0.501,0.545,1280,720,yuv420p,30.0,,,
6,Animation_720P-1a6d,Animation,720,129,4.283,4.285,4.251,4.261,0.526,0.507,0.542,0.574,1280,720,yuv420p,25.0,,,
7,Animation_720P-2525,Animation,720,106,3.73,3.719,3.696,3.804,0.498,0.43,0.496,0.496,1280,720,yuv420p,25.0,,,
9,Animation_720P-2abf,Animation,720,127,3.615,3.5210000000000004,3.366,3.488,0.6859999999999999,0.615,0.7440000000000001,0.6970000000000001,1280,720,yuv420p,25.0,,,
11,Animation_720P-3adc,Animation,720,118,3.575,3.404,3.467,3.463,0.48200000000000004,0.59,0.5579999999999999,0.589,1280,720,yuv420p,10.0,,,
12,Animation_720P-412a,Animation,720,145,4.249,4.2780000000000005,4.244,4.129,0.599,0.675,0.628,0.653,1280,720,yuv420p,23.97602398,,,
13,Animation_720P-41cf,Animation,720,131,3.862,3.89,3.926,4.077,0.46399999999999997,0.58,0.5529999999999999,0.624,1280,720,yuv420p,25.0,,,
14,Animation_720P-41d6,Animation,720,141,4.148,4.176,4.195,4.269,0.619,0.62,0.607,0.542,960,720,yuv420p,30.0,,,
15,Animation_720P-4268,Animation,720,123,3.846,3.682,3.7319999999999998,3.793,0.537,0.568,0.491,0.5429999999999999,1280,720,yuv420p,29.97002997,,,
16,Animation_720P-431c,Animation,720,135,4.396,4.41,4.084,4.206,0.49,0.457,0.507,0.43200000000000005,1280,720,yuv420p,25.0,,,
18,Animation_720P-57d9,Animation,720,121,3.522,2.7510000000000003,3.572,3.533,0.513,0.657,0.527,0.49200000000000005,1280,720,yuv420p,29.97002997,,,
20,Animation_720P-620f,Animation,720,127,4.522,4.64,4.641,4.501,0.47700000000000004,0.375,0.385,0.433,1280,720,yuv420p,25.0,,,
21,Animation_720P-6372,Animation,720,124,4.422,4.221,3.832,4.282,0.47700000000000004,0.615,0.564,0.507,1280,720,yuv420p,30.0,,,
22,Animation_720P-79ee,Animation,720,152,2.197,1.9680000000000002,2.2030000000000003,2.166,0.9109999999999999,0.645,0.609,0.604,1280,720,yuv420p,24.0,,,
23,Animation_720P-7b29,Animation,720,125,3.862,3.7760000000000002,3.687,3.804,0.47700000000000004,0.595,0.507,0.48,1280,720,yuv420p,24.0,,,
24,Animation_720P-7e7d,Animation,720,114,3.589,3.365,3.403,3.4819999999999998,0.63,0.784,0.8190000000000001,0.774,1280,720,yuv420p,30.0,,,
25,Animation_720P-7ff2,Animation,720,136,4.124,4.156000000000001,3.866,3.904,0.627,0.616,0.581,0.581,1280,720,yuv420p,30.0,,,
26,CoverSong_720P-014c,CoverSong,720,120,2.6180000000000003,2.359,2.387,2.4730000000000003,0.66,0.493,0.616,0.62,1280,720,yuv420p,29.97002997,,,
