,vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
1,Animation_1080P-05f8,Animation,1080,146,3.9010000000000002,3.7569999999999997,3.6710000000000003,3.728,0.871,0.7340000000000001,0.733,0.738,1920,1080,yuv420p,25.0,,,
2,Animation_1080P-0c4f,Animation,1080,127,3.94,3.8310000000000004,4.01,4.031000000000001,0.529,0.527,0.626,0.6920000000000001,1920,1080,yuv420p,23.97602398,,,
4,Animation_1080P-18f5,Animation,1080,139,4.158,4.177,3.815,4.02,0.579,0.5870000000000001,0.612,0.6829999999999999,1920,1080,yuv420p,29.97002997,,,
5,Animation_1080P-209f,Animation,1080,136,4.189,4.138,4.112,4.224,0.622,0.606,0.594,0.509,1920,1080,yuv420p,25.0,,,
6,Animation_1080P-21dd,Animation,1080,115,3.7910000000000004,3.719,3.733,3.62,0.486,0.526,0.48100000000000004,0.588,1920,1080,yuv420p,23.97602398,,,
7,Animation_1080P-2fbe,Animation,1080,105,3.346,3.4560000000000004,3.341,3.324,0.82,0.578,0.721,0.64,1920,1080,yuv420p,23.97602398,,,
8,Animation_1080P-2fff,Animation,1080,124,4.369,4.343,4.288,4.465,0.517,0.517,0.637,0.47600000000000003,1920,1080,yuv420p,25.0,,,
9,Animation_1080P-3d67,Animation,1080,118,2.778,2.2969999999999997,2.313,2.201,0.907,1.005,0.978,0.857,1920,1080,yuv420p,4.0,,,
10,Animation_1080P-3dbf,Animation,1080,142,4.444,4.3260000000000005,4.319,4.212,0.514,0.57,0.578,0.568,1920,1080,yuv420p,24.0,,,
11,Animation_1080P-3e01,Animation,1080,135,4.045,4.172,4.26,4.132,0.654,0.67,0.589,0.688,1920,1080,yuv420p,12.0,,,
12,Animation_1080P-4214,Animation,1080,119,3.51,3.3789999999999996,3.3680000000000003,3.415,0.7509999999999999,0.863,0.872,0.83,1920,1080,yuv420p,25.0,,,
