,vid,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
0,Animation_360P-08c9,Animation,360,112,3.6519999999999997,3.6060000000000003,3.7260000000000004,3.622,0.456,0.47600000000000003,0.514,0.552,640,360,yuv420p,30.0,,,
1,Animation_360P-188f,Animation,360,125,3.702,3.44,3.697,3.6639999999999997,0.45799999999999996,0.564,0.52,0.485,640,360,yuv420p,29.97002997,,,
2,Animation_360P-24d4,Animation,360,121,3.435,3.292,3.397,3.42,0.516,0.594,0.562,0.5589999999999999,480,360,yuv420p,24.0,,,
3,Animation_360P-3e40,Animation,360,140,2.353,2.239,1.896,1.962,0.9279999999999999,0.649,0.747,0.81,640,360,yuv420p,30.0,,,
4,Animation_360P-3e52,Animation,360,115,3.6510000000000002,3.707,3.523,3.4610000000000003,0.508,0.485,0.5379999999999999,0.5379999999999999,640,360,yuv420p,29.97002997,,,
5,Animation_360P-47cc,Animation,360,133,3.282,3.306,3.333,3.09,0.6709999999999999,0.613,0.655,0.682,640,360,yuv420p,30.0,,,
6,Animation_360P-4b4c,Animation,360,130,3.003,3.1260000000000003,3.002,3.0460000000000003,0.816,0.612,0.649,0.66,640,360,yuv420p,30.0,,,
7,Animation_360P-4edc,Animation,360,106,3.682,3.627,3.699,3.6889999999999996,0.597,0.563,0.513,0.5820000000000001,640,360,yuv420p,30.0,,,
8,Animation_360P-5712,Animation,360,122,3.552,3.659,3.658,3.555,0.5329999999999999,0.622,0.621,0.632,640,360,yuv420p,30.0,,,
9,Animation_360P-5de0,Animation,360,117,3.429,3.307,3.451,3.431,0.523,0.5770000000000001,0.5429999999999999,0.551,640,360,yuv420p,30.0,,,
10,Animation_360P-631c,Animation,360,108,2.2359999999999998,2.056,2.019,1.891,0.6890000000000001,0.574,0.56,0.598,640,360,yuv420p,15.0,,,
